.*Diamond Knight.*,Diamond Knight Boots,Diamond Knight Leggings,Diamond Knight Chestplate,Diamond Knight Helmet
.*Netherite Knight.*,Netherite Knight Boots,Netherite Knight Leggings,Netherite Knight Chestplate,Netherite Knight Helmet
.*Iron Knight.*,Iron Knight Boots,Iron Knight Leggings,Iron Knight Chestplate,Iron Knight Helmet
.*Golden Knight.*,Golden Knight Boots,Golden Knight Leggings,Golden Knight Chestplate,Golden Knight Helmet
.*Copper Knight.*,Copper Knight Boots,Copper Knight Leggings,Copper Knight Chestplate,Copper Knight Helmet
.*Netherite Ruby Knight.*,Netherite Ruby Knight Boots,Netherite Ruby Knight Leggings,Netherite Ruby Knight Chestplate,Netherite Ruby Knight Helmet
.*Netherite Emerald Knight.*,Netherite Emerald Knight Boots,Netherite Emerald Knight Leggings,Netherite Emerald Knight Chestplate,Netherite Emerald Knight Helmet
.*Netherite Amethyst Knight.*,Netherite Amethyst Knight Boots,Netherite Amethyst Knight Leggings,Netherite Amethyst Knight Chestplate,Netherite Amethyst Knight Helmet
.*Ruby Knight.*,Ruby Knight Boots,Ruby Knight Leggings,Ruby Knight Chestplate,Ruby Knight Helmet
.*Emerald Knight.*,Emerald Knight Boots,Emerald Knight Leggings,Emerald Knight Chestplate,Emerald Knight Helmet
.*Amethyst Knight.*,Amethyst Knight Boots,Amethyst Knight Leggings,Amethyst Knight Chestplate,Amethyst Knight Helmet
